,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
433,2019-01-30,21.49,23.129998999999998,21.370001000000002,23.09,23.09,211421200,-16.630576006929406
434,2019-01-31,23.02,25.139999,22.83,24.41,24.41,182575600,-5.40761982793937
435,2019-02-01,24.610001,24.84,24.07,24.51,24.51,105356200,-0.4079967360261175
436,2019-02-04,24.43,24.66,24.07,24.129998999999998,24.129998999999998,70843800,1.5748073590885918
437,2019-02-05,23.42,23.860001,22.98,23.309998999999998,23.309998999999998,122226000,3.517803668717448
438,2019-02-06,23.629998999999998,24.139999,23.219998999999998,23.26,23.26,78684300,0.21495700773859042
439,2019-02-07,22.99,23.219998999999998,22.32,22.67,22.67,86723900,2.602558447287163
440,2019-02-08,22.33,23.280001000000002,22.27,23.049999,23.049999,78129300,-1.64858575481933
441,2019-02-11,23.049999,23.280001000000002,22.66,22.959999,22.959999,60578700,0.3919860797903339
442,2019-02-12,23.43,23.559998999999998,22.75,22.82,22.82,67595400,0.6134925503943889
443,2019-02-13,22.98,23.24,22.709999,22.85,22.85,57544200,-0.13129102844639445
444,2019-02-14,22.74,23.370001000000002,22.59,23.129998999999998,23.129998999999998,64441200,-1.2105447994182645
445,2019-02-15,23.58,24.049999,23.200001,23.68,23.68,78644100,-2.3226393581081153
446,2019-02-19,23.629998999999998,24.41,23.610001,23.950001,23.950001,57517900,-1.1273527713005131
447,2019-02-20,24.139999,24.370001000000002,23.9,23.950001,23.950001,57091600,0.0
448,2019-02-21,24.040001,24.33,23.85,23.92,23.92,49608200,0.12542224080266975
449,2019-02-22,24.049999,24.360001,23.879998999999998,24.360001,24.360001,52650700,-1.806243768216589
450,2019-02-25,25.01,25.52,24.68,24.709999,24.709999,63221000,-1.4164225583335692
451,2019-02-26,24.65,24.719998999999998,24.15,24.209999,24.209999,48470100,2.065262373616785
452,2019-02-27,24.110001,24.23,23.209999,23.48,23.48,62649300,3.1090247018739325
453,2019-02-28,23.209999,23.67,23.110001,23.530001000000002,23.530001000000002,39384900,-0.21249892849559052
454,2019-03-01,23.969998999999998,24.190001000000002,23.450001,23.68,23.68,48084000,-0.6334417229729626
455,2019-03-04,23.889999,24.129998999999998,23.01,23.370001000000002,23.370001000000002,48147700,1.3264826133297885
456,2019-03-05,23.34,23.68,23.01,23.5,23.5,35462600,-0.5531872340425446
457,2019-03-06,23.469998999999998,23.530001000000002,22.4,22.41,22.41,60479400,4.863900044622936
458,2019-03-07,22.33,22.41,21.73,22.08,22.08,52186300,1.4945652173913129
459,2019-03-08,21.35,22.09,21.040001,22.01,22.01,49967700,0.31803725579280656
460,2019-03-11,22.15,23.08,21.98,22.959999,22.959999,54420200,-4.137626486830415
461,2019-03-12,23.1,23.799999,22.780001000000002,23.49,23.49,56410600,-2.256283524904209
462,2019-03-13,23.66,24.15,23.35,23.379998999999998,23.379998999999998,56705800,0.47049189351975795
463,2019-03-14,23.370001000000002,23.49,22.799999,22.82,22.82,42818600,2.453983347940393
464,2019-03-15,23.1,23.65,23.01,23.290001,23.290001,46519900,-2.0180376978086
465,2019-03-18,23.299999,23.620001000000002,23.040001,23.25,23.25,34731800,0.17204731182795774
466,2019-03-19,23.6,26.08,23.59,26.0,26.0,156052200,-10.576923076923077
467,2019-03-20,26.49,26.879998999999998,25.309998999999998,25.700001,25.700001,151292100,1.1673112386260205
468,2019-03-21,25.780001000000002,28.110001,25.709999,27.889999,27.889999,129610300,-7.85226991223628
469,2019-03-22,27.540001,27.75,26.33,26.370001000000002,26.370001000000002,115323300,5.764118097682277
470,2019-03-25,26.290001,26.99,25.540001,25.969998999999998,25.969998999999998,78438200,1.54024649750662
471,2019-03-26,26.690001000000002,26.98,25.459999,25.690001000000002,25.690001000000002,75754100,1.0899104285748977
472,2019-03-27,25.700001,25.879998999999998,24.549999,24.889999,24.889999,88585300,3.2141503902832733
473,2019-03-28,25.1,25.559998999999998,24.65,25.059998999999998,25.059998999999998,64667500,-0.678371934492089
474,2019-03-29,25.58,25.73,25.25,25.52,25.52,53502800,-1.802511755485901
475,2019-04-01,26.42,26.559998999999998,25.83,26.360001,26.360001,63000300,-3.1866501067279964
476,2019-04-02,26.51,26.799999,26.09,26.75,26.75,53358800,-1.4579401869158861
477,2019-04-03,28.02,29.950001,27.879998999999998,29.02,29.02,197650500,-7.822191592005511
478,2019-04-04,28.879998999999998,29.389999,28.610001,29.09,29.09,82191100,-0.24063251976624367
479,2019-04-05,29.639999,29.690001000000002,28.799999,28.98,28.98,65662700,0.3795721187025515
480,2019-04-08,28.690001000000002,28.950001,28.18,28.530001000000002,28.530001000000002,58002500,1.577283505878595
481,2019-04-09,28.24,28.379998999999998,27.190001000000002,27.24,27.24,75539800,4.735686490455227
482,2019-04-10,27.459999,28.120001000000002,27.32,27.83,27.83,64368100,-2.1200143729787997
483,2019-04-11,27.809998999999998,28.049999,27.459999,27.790001,27.790001,44801200,0.14393306427012406
484,2019-04-12,28.209999,28.379998999999998,27.66,27.85,27.85,41048800,-0.2154362657091607
485,2019-04-15,27.799999,27.84,26.959999,27.33,27.33,40812500,1.9026710574460415
486,2019-04-16,27.719998999999998,28.18,27.49,27.93,27.93,47340100,-2.148227712137492
487,2019-04-17,28.209999,28.27,27.219998999999998,27.49,27.49,48240800,1.6005820298290334
488,2019-04-18,27.6,27.879998999999998,27.34,27.68,27.68,39880900,-0.6864161849711029
489,2019-04-22,27.620001000000002,28.23,27.389999,28.18,28.18,36477300,-1.7743080198722498
490,2019-04-23,28.18,28.49,27.790001,27.969998999999998,27.969998999999998,41777500,0.7508080354239623
491,2019-04-24,28.1,28.85,27.93,28.459999,28.459999,51784700,-1.7217147477763508
492,2019-04-25,28.67,28.860001,27.360001,27.66,27.66,57329700,2.8922595806218356
493,2019-04-26,27.66,27.9,27.049999,27.879998999999998,27.879998999999998,48827900,-0.7890925677579753
494,2019-04-29,27.9,28.139999,27.5,27.690001000000002,27.690001000000002,44532700,0.686161044197852
495,2019-04-30,27.59,27.799999,26.940001000000002,27.629998999999998,27.629998999999998,73165900,0.2171625123837476
496,2019-05-01,28.950001,29.15,26.780001000000002,26.809998999999998,26.809998999999998,136066900,3.058560352799716
497,2019-05-02,26.940001000000002,28.639999,26.610001,28.290001,28.290001,100514800,-5.2315374608859235
498,2019-05-03,28.299999,28.42,27.66,28.219998999999998,28.219998999999998,55503100,0.24805812360235144
499,2019-05-06,26.719998999999998,27.5,26.450001,27.42,27.42,70344100,2.91757476294674
500,2019-05-07,27.200001,27.35,26.209999,26.66,26.66,75868800,2.850712678169548
501,2019-05-08,26.41,27.709999,26.27,27.09,27.09,65967500,-1.587301587301586
502,2019-05-09,26.700001,27.379998999999998,26.030001000000002,27.209999,27.209999,73150900,-0.44101067405404887
503,2019-05-10,27.030001000000002,28.1,26.93,27.959999,27.959999,82930100,-2.682403529413574
504,2019-05-13,26.98,27.23,26.1,26.24,26.24,99017900,6.554874237804883
505,2019-05-14,26.530001000000002,27.48,26.15,27.32,27.32,82980400,-3.9531478770131843
506,2019-05-15,26.870001000000002,27.790001,26.73,27.58,27.58,55689900,-0.9427121102247934
507,2019-05-16,27.370001000000002,28.370001000000002,27.27,28.01,28.01,67330100,-1.5351660121385335
508,2019-05-17,27.690001000000002,28.459999,27.4,27.5,27.5,65385400,1.85454545454546
509,2019-05-20,26.98,27.24,26.49,26.68,26.68,69757400,3.0734632683658183
510,2019-05-21,27.18,27.370001000000002,26.93,27.35,27.35,46079200,-2.449725776965271
511,2019-05-22,27.120001000000002,27.59,27.07,27.41,27.41,40035300,-0.2188982123312613
512,2019-05-23,26.99,27.1,26.030001000000002,26.360001,26.360001,67809200,3.9833040977502225
513,2019-05-24,26.610001,26.93,26.4,26.440001000000002,26.440001000000002,39835800,-0.302571849373235
514,2019-05-28,27.27,29.67,27.059998999999998,29.049999,29.049999,146949600,-8.984502891032793
